Dataset,R²,MSE,RMSE,MAE,Learning_Rate,Batch_Size,Hidden_Layers,Activation,Dropout_Rate,Epochs
winter,0.9746,1693703.7292,1301.4237,1018.3703,0.001,16,"[128, 64, 32]",tanh,0.0,50
all,0.9683,1864224.978,1365.3662,1032.1852,0.0001,16,"[128, 64, 32]",relu,0.0,50
spring,0.9672,2129743.2006,1459.364,1109.213,0.001,32,"[128, 64, 32]",tanh,0.0,50
summer,0.9579,2199503.0307,1483.0722,1135.2693,0.001,32,"[128, 64, 32]",relu,0.0,50
autumn,0.9508,1219935.3179,1104.5068,852.8132,0.001,16,"[64, 32]",relu,0.0,50
