Dataset,R²,MSE,RMSE,MAE,Learning_Rate,Batch_Size,Hidden_Layers,Activation,Dropout_Rate,Epochs
winter,0.9749,1672696.7153,1293.3278,1019.3868,0.001,16,"[128, 64, 32]",tanh,0.0,50
all,0.9695,1790608.4532,1338.1362,1032.4387,0.0001,16,"[128, 64, 32]",relu,0.0,50
spring,0.968,2083379.7577,1443.3918,1141.9781,0.001,32,"[128, 64, 32]",tanh,0.0,50
summer,0.9594,2117966.2961,1455.3234,1096.1724,0.001,16,"[128, 64, 32]",relu,0.0,50
autumn,0.951,1213351.2865,1101.5223,841.407,0.001,16,"[64, 32]",relu,0.0,50
